(地方)	凱旋夜市酉記臭豆腐，炸餛飩，爆漿臭豆腐，豬血湯，	Food/Grocery	[0.5243445692883895, 0, 0.4756554307116105]
(人物與團體)	美樂蒂光療美甲工作室	Spas/Beauty/Personal Care	[0.9827586206896551, 0.017241379310344827, 0]
(物品)	Mika Nails創意美甲	Spas/Beauty/Personal Care	[0.8992217898832685, 0.03463035019455253, 0.06614785992217899]
(地方)	埔茂花市	Tours/Sightseeing	[0.3746241731809982, 0.03698135898977751, 0.5883944678292243]
(物品)	顏老師推拿整復中心	Health/Medical/Pharmacy	[0.8674698795180723, 0.04216867469879518, 0.09036144578313253]
(娛樂)	貞羽美容小鋪	Spas/Beauty/Personal Care	[0.5220588235294118, 0.27205882352941174, 0.20588235294117646]
(娛樂)	城市綠洲中壢店	Outdoor Gear/Sporting Goods	[0.672, 0.013333333333333334, 0.31466666666666665]
(人物與團體)	麥可與魔豆 寵物餐廳	Pet Services	[0.9969849246231156, 0.003015075376884422, 0]
(地方)	縱橫網	Arts/Entertainment/Nightlife	[0.5598086124401914, 0.028708133971291867, 0.41148325358851673]
(娛樂)	曼都東興店	Professional Services	[0.5888501742160279, 0.06620209059233449, 0.34494773519163763]
(人物與團體)	佳立診所	Doctor	[0.900052603892688, 0.08627038400841662, 0.013677012098895318]
(物品)	MONET 莫內　黏土　拼貼　手創	Arts/Entertainment/Nightlife	[0.9323577235772358, 0.006178861788617886, 0.06146341463414634]
(企業與服務)	美勝珍蜜餞	Local Business	[0.8063725490196079, 0.06372549019607843, 0.12990196078431374]
(地方)	東門國小	School	[0.16620498614958448, 0.002770083102493075, 0.8310249307479224]
(娛樂)	田安然中醫診所	Health/Medical/Pharmaceuticals	[0.49529446007567673, 0.4963616959348016, 0.008343843989521683]
(人物與團體)	八相廣告製作	Media/News/Publishing	[0.9936305732484076, 0, 0.006369426751592357]
(地方)	金如意餐具有限公司	Company	[0.13043478260869565, 0, 0.8695652173913043]
(娛樂)	帕米義麵屋	Local Business	[0.7021506343921533, 0.007108791505444074, 0.2907405741024026]
(娛樂)	安平度老命蝦餅	Shopping/Retail	[0.6923664122137405, 0.007633587786259542, 0.3]
(娛樂)	鈺展精品工坊	Business Services	[0.6314606741573033, 0.016853932584269662, 0.35168539325842696]
(地方)	Mijiang蜜醬創意美式脆薯 - 崛江店	Food/Grocery	[0.5550755939524838, 0, 0.4449244060475162]
(地方)	陳易數學	Local Business	[0.2556818181818182, 0, 0.7443181818181818]
(人物與團體)	花蓮Angel Nail美甲工作室	Spas/Beauty/Personal Care	[0.9327731092436975, 0.06722689075630252, 0]
(人物與團體)	林醫院復健科	Hospital/Clinic	[1.0, 0, 0]
(地方)	飄香燒烤	Food/Grocery	[0.5725806451612904, 0, 0.4274193548387097]
(人物與團體)	Yamaha 富新	Business Services	[0.95, 0.05, 0]
(娛樂)	彰化縣鹿港鎮農會	Bank/Financial Institution	[0.726890756302521, 0, 0.27310924369747897]
(地方)	民生意麵滷味	Local Business	[0.2682926829268293, 0.16260162601626016, 0.5691056910569106]
(企業與服務)	17號穀倉手工吐司坊	Food/Beverages	[0.7459098497495826, 0.10617696160267112, 0.14791318864774625]
(地方)	米拉貝爾嘉義維新店	Restaurant/Cafe	[0.17771883289124668, 0.005039787798408488, 0.8172413793103448]
(企業與服務)	南屯三角街人文茶館	Food/Beverages	[0.8176100628930818, 0.018867924528301886, 0.16352201257861634]
(娛樂)	松山道後溫泉祈福機械鐘	Tours/Sightseeing	[0.7040441176470589, 0.001838235294117647, 0.29411764705882354]
(地方)	鍋霸小火鍋	Restaurant/Cafe	[0.30158730158730157, 0.002442002442002442, 0.6959706959706959]
(地方)	迷客夏milk shop 新營店	Food/Beverages	[0.5723502304147465, 0.0027649769585253456, 0.4248847926267281]
(物品)	米奇紅豆餅	Local Business	[0.8476702508960573, 0.0017921146953405018, 0.15053763440860216]
(地方)	迷客夏Milkshop高雄文化店	Local Business	[0.5298165137614679, 0.006880733944954129, 0.463302752293578]
(地方)	蝦霸子	Food/Grocery	[0.199288256227758, 0.010167768174885612, 0.7905439755973563]
(娛樂)	慈祐藥局	Health/Medical/Pharmacy	[0.6606060606060606, 0.012121212121212121, 0.32727272727272727]
(地方)	集思台大會議中心 蘇格拉底廳	Local Business	[0.02765556253928347, 0.006285355122564425, 0.9660590823381521]
(地方)	Mirror	Local Business	[0.5565217391304348, 0, 0.4434782608695652]
(企業與服務)	屏東美樂蒂音樂	Education	[0.7683823529411765, 0.04779411764705882, 0.18382352941176472]
(人物與團體)	高賓山產海鮮餐廳	Restaurant/Cafe	[1.0, 0, 0]
(地方)	孔雀川湘食集	Restaurant/Cafe	[0.3869457046685204, 0.012000585394409484, 0.6010537099370701]
(地方)	彩登vs曼羽時尚髮妝	Spas/Beauty/Personal Care	[0.2571428571428571, 0.010714285714285714, 0.7321428571428571]
(企業與服務)	錢多多寵物沙龍	Pet Services	[0.8235294117647058, 0.006535947712418301, 0.16993464052287582]
(地方)	古早傳說新莊店	Local Business	[0.047507905435928324, 0.010917030567685589, 0.9415750639963861]
(物品)	Microsoft Taiwan	Computers/Technology	[0.8556789330396746, 0.03251659478143832, 0.11180447217888716]
(娛樂)	Pasaje Att4Fun 門市	Local Business	[0.6909090909090909, 0, 0.3090909090909091]
(娛樂)	竹北17健康俱樂部	Club	[0.6229050279329609, 0.0013966480446927375, 0.3756983240223464]
(地方)	Japun法式醬堡	Local Business	[0.1366120218579235, 0, 0.8633879781420765]
(人物與團體)	朱倖誼  都會珠寶鑑定	Business Services	[0.9184481393507522, 0.03800475059382423, 0.043547110055423596]
