Public Places	['764.923', '34.985', '2457.169', 130]
Legal	['266.000', '8.021', '22.702', 47]
Internet	['2929.230', '194.608', '838.162', 74]
Phone	['6721.927', '571.509', '743.745', 55]
Entertainment Website	['805.667', '82.000', 0, 3]
Professional Services	['2769.500', '142.250', '575.062', 1553]
Amateur Sports Team	['940.600', '13.200', 0, 5]
Company	['4373.842', '188.343', '1977.330', 811]
Record Label	['2830.250', '140.500', '253.500', 4]
Transportation	['1028.447', '157.386', '29565.538', 132]
Music Video	['222.000', 0, 0, 1]
Pet	['1060.000', '2.000', 0, 1]
Director	['959266.667', '2866.333', 0, 3]
Tours	['3350.372', '177.873', '9880.887', 1861]
Outdoor Gear	['2810.951', '99.854', '246.537', 445]
Sports Team	['72212.500', '7898.250', 0, 4]
Radio Station	['38966.200', '864.600', '410.800', 5]
Financial Institution	['879.414', '29.103', '957.586', 58]
Appliances	['3268.000', '49.000', 0, 1]
Real Estate	['258.144', '18.823', '142.105', 209]
Concert Tour	['3206.000', '1.000', 0, 1]
Sports Website	['1185.000', '90.500', 0, 2]
News	['58542.335', '22138.265', '321.351', 313]
Concert Venue	['6789.826', '117.783', '5618.848', 46]
Clothing	['13434.986', '309.915', 0, 142]
Photographer	['588.000', '7.000', 0, 1]
Defense	['1684.000', '22.000', 0, 1]
Band	['165825.727', '6346.242', 0, 33]
Art Gallery	['8674.217', '312.959', '16099.024', 295]
Jewelry	['2485.690', '47.000', 0, 29]
Book Store	['3736.406', '159.669', '2455.902', 133]
Office Supplies	['88.000', '10.000', 0, 1]
Mining	['509.235', '19.118', '107.118', 17]
Small Business	['944.623', '30.304', '281.174', 138]
Teacher	['92.000', 0, 0, 1]
Supplements	['1296.000', '129.000', 0, 3]
Household Supplies	['278.000', '31.500', 0, 2]
Medical	['2094.552', '163.858', '704.639', 2014]
Consulting	['2093.739', '98.998', '497.165', 460]
Community Organization	['2833.667', '255.123', '1430.035', 57]
Lawyer	['436.333', '27.000', '21.333', 3]
Energy	['361.444', '30.556', '1576.889', 9]
Automobiles and Parts	['2054.051', '78.603', '368.928', 237]
University	['3338.549', '355.296', '14139.699', 206]
Product	['41874.535', '292.230', '4328.595', 269]
Book	['871.000', '30.500', 0, 2]
Nightlife	['5036.913', '168.362', '7973.722', 1346]
Political Party	['278936.500', '15098.500', 0, 2]
Regional Website	['597.000', '109.000', 0, 2]
Software	['2929.230', '194.608', '838.162', 74]
Organization	['3716.865', '201.117', '190.162', 111]
Pet Services	['1467.795', '72.146', '220.983', 356]
Camera	['7820.600', '7.200', 0, 5]
Local	['3378.846', '24.769', 0, 13]
Bank	['879.414', '29.103', '957.586', 58]
Recreation	['2694.378', '121.628', '4658.215', 966]
Electronics	['1575.500', '95.000', 0, 2]
